node
8L_8R
8L_9L
8L_9R
8L_10L
8L_10R
8L_22L
8L_22R
8L_23L
8L_23R
8L_24L
8L_24R
8L_25L
8L_25R
8L_29L
8L_29R
8L_30L
8L_30R
8L_32L
8L_32R
8L_13L
8L_13R
8R_9L
8R_9R
8R_10L
8R_10R
8R_22L
8R_22R
8R_23L
8R_23R
8R_24L
8R_24R
8R_25L
8R_25R
8R_29L
8R_29R
8R_30L
8R_30R
8R_32L
8R_32R
8R_13L
8R_13R
9L_9R
9L_10L
9L_10R
9L_22L
9L_22R
9L_23L
9L_23R
9L_24L
9L_24R
9L_25L
9L_25R
9L_29L
9L_29R
9L_30L
9L_30R
9L_32L
9L_32R
9L_13L
9L_13R
9R_10L
9R_10R
9R_22L
9R_22R
9R_23L
9R_23R
9R_24L
9R_24R
9R_25L
9R_25R
9R_29L
9R_29R
9R_30L
9R_30R
9R_32L
9R_32R
9R_13L
9R_13R
10L_10R
10L_22L
10L_22R
10L_23L
10L_23R
10L_24L
10L_24R
10L_25L
10L_25R
10L_29L
10L_29R
10L_30L
10L_30R
10L_32L
10L_32R
10L_13L
10L_13R
10R_22L
10R_22R
10R_23L
10R_23R
10R_24L
10R_24R
10R_25L
10R_25R
10R_29L
10R_29R
10R_30L
10R_30R
10R_32L
10R_32R
10R_13L
10R_13R
22L_22R
22L_23L
22L_23R
22L_24L
22L_24R
22L_25L
22L_25R
22L_29L
22L_29R
22L_30L
22L_30R
22L_32L
22L_32R
22L_13L
22L_13R
22R_23L
22R_23R
22R_24L
22R_24R
22R_25L
22R_25R
22R_29L
22R_29R
22R_30L
22R_30R
22R_32L
22R_32R
22R_13L
22R_13R
23L_23R
23L_24L
23L_24R
23L_25L
23L_25R
23L_29L
23L_29R
23L_30L
23L_30R
23L_32L
23L_32R
23L_13L
23L_13R
23R_24L
23R_24R
23R_25L
23R_25R
23R_29L
23R_29R
23R_30L
23R_30R
23R_32L
23R_32R
23R_13L
23R_13R
24L_24R
24L_25L
24L_25R
24L_29L
24L_29R
24L_30L
24L_30R
24L_32L
24L_32R
24L_13L
24L_13R
24R_25L
24R_25R
24R_29L
24R_29R
24R_30L
24R_30R
24R_32L
24R_32R
24R_13L
24R_13R
25L_25R
25L_29L
25L_29R
25L_30L
25L_30R
25L_32L
25L_32R
25L_13L
25L_13R
25R_29L
25R_29R
25R_30L
25R_30R
25R_32L
25R_32R
25R_13L
25R_13R
29L_29R
29L_30L
29L_30R
29L_32L
29L_32R
29L_13L
29L_13R
29R_30L
29R_30R
29R_32L
29R_32R
29R_13L
29R_13R
30L_30R
30L_32L
30L_32R
30L_13L
30L_13R
30R_32L
30R_32R
30R_13L
30R_13R
32L_32R
32L_13L
32L_13R
32R_13L
32R_13R
13L_13R
24L_34L
24L_34R
24L_44L
24L_44R
24L_45L
24L_45R
24L_46L
24L_46R
24L_47L
24L_47R
24L_49L
24L_49R
24R_34L
24R_34R
24R_44L
24R_44R
24R_45L
24R_45R
24R_46L
24R_46R
24R_47L
24R_47R
24R_49L
24R_49R
25L_34L
25L_34R
25L_44L
25L_44R
25L_45L
25L_45R
25L_46L
25L_46R
25L_47L
25L_47R
25L_49L
25L_49R
25R_34L
25R_34R
25R_44L
25R_44R
25R_45L
25R_45R
25R_46L
25R_46R
25R_47L
25R_47R
25R_49L
25R_49R
32L_34L
32L_34R
32L_44L
32L_44R
32L_45L
32L_45R
32L_46L
32L_46R
32L_47L
32L_47R
32L_49L
32L_49R
32R_34L
32R_34R
32R_44L
32R_44R
32R_45L
32R_45R
32R_46L
32R_46R
32R_47L
32R_47R
32R_49L
32R_49R
34L_34R
34L_44L
34L_44R
34L_45L
34L_45R
34L_46L
34L_46R
34L_47L
34L_47R
34L_13L
34L_13R
34L_49L
34L_49R
34R_44L
34R_44R
34R_45L
34R_45R
34R_46L
34R_46R
34R_47L
34R_47R
34R_13L
34R_13R
34R_49L
34R_49R
44L_44R
44L_45L
44L_45R
44L_46L
44L_46R
44L_47L
44L_47R
44L_13L
44L_13R
44L_49L
44L_49R
44R_45L
44R_45R
44R_46L
44R_46R
44R_47L
44R_47R
44R_13L
44R_13R
44R_49L
44R_49R
45L_45R
45L_46L
45L_46R
45L_47L
45L_47R
45L_13L
45L_13R
45L_49L
45L_49R
45R_46L
45R_46R
45R_47L
45R_47R
45R_13L
45R_13R
45R_49L
45R_49R
46L_46R
46L_47L
46L_47R
46L_13L
46L_13R
46L_49L
46L_49R
46R_47L
46R_47R
46R_13L
46R_13R
46R_49L
46R_49R
47L_47R
47L_13L
47L_13R
47L_49L
47L_49R
47R_13L
47R_13R
47R_49L
47R_49R
13L_49L
13L_49R
13R_49L
13R_49R
49L_49R
